emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Vinci Logística FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Offices FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Oportunidade Residencial FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Shopping Centers FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Patria,gestora_fundo,gestora_fundo,2,nao_aplicavel_veiculo,n/a,id_forte_sem_protocolo,alta,,,,cod_cvm:17744,0,,0,,,"Identificador forte (cadastro_cvm(auto)) declarado, sem protocolo no IPE do ano."
Genoa Capital,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Jgp,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Kapitalo,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Navi,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Principal Claritas,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Spx,gestora_fundo,gestora_fundo,3,nao_aplicavel_veiculo,n/a,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
