emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Vibra Energia,listada,listed_companies,1,revisar,revisar,revisar,baixa,,,,,2,VIBRA ENERGIA S/A; VIBRA ENERGIA S/A,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Axia Energia,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,4,AXIA ENERGIA NORDESTE S.A.; AXIA ENERGIA NORTE S.A.; AXIA ENERGIA S.A.; AXIA ENERGIA SUL S.A.,0,,,4 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
BRF,listada,listed_companies,2,revisar,revisar,revisar,baixa,BRF S.A.,01838723000127,16292,,1,BRF S.A.,41,2026-07-22,Assembleia; Calendário de Eventos Corporativos; Comunicado ao Mercado; Dados Econômico-Financeiros; Escrituras e aditamentos de debêntures; Fato Relevante,"Casou apenas por termo curto (BRF, BRF) dentro de 'BRF S.A.' — risco de homônimo; confirmar por CNPJ/código CVM."
CPFL Energia,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,6,CPFL ENERGIA SA; COMPANHIA PAULISTA DE FORCA LUZ - CPFL; CPFL ENERGIAS RENOVÁVEIS S.A.; CPFL GERAÇÃO DE ENERGIA S/A; CPFL JAGUARIÚNA S.A.; CPFL TRANSMISSÃO S.A.,0,,,6 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Caixa Seguridade,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,22543331000100,23795,cod_cvm:23795,0,,67,2026-07-23,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Carta Anual de Governança Corporativa; Comunicado ao Mercado; Dados Econômico-Financeiros,Código CVM 23795 (cadastro_cvm(auto)) casado no IPE.
Cemig,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,4,CEMIG DISTRIBUIÇÃO S/A; CEMIG GERAÇÃO E TRANSMISSÃO S/A; CEMIG TELECOMUNICAÇÕES S/A; CIA ENERG MINAS GERAIS - CEMIG,0,,,4 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Construtora Tenda,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,CONSTRUTORA TENDA S/A,71476527000135,21148,cod_cvm:21148,0,,105,2026-07-17,Assembleia; Aviso aos Acionistas; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social; Fato Relevante,Código CVM 21148 (cadastro_cvm(auto)) casado no IPE.
Copel,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,3,COMPANHIA PARANAENSE DE ENERGIA COPEL; COPEL DISTRIBUIÇÃO S.A.; COPEL GERAÇÃO E TRANSMISSÃO S/A,0,,,3 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Cosan,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,3,COSAN ALIMENTOS S.A.; COSAN LOGÍSTICA S.A.; COSAN S.A.,0,,,3 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Embraer,listada,listed_companies,2,revisar,revisar,revisar,baixa,,,,,2,EMBRAER EMP BRAS AERON SA; EMBRAER S.A.,0,,,2 companhias no cadastro CVM batem com o nome — definir código CVM/CNPJ manualmente.
Eneva,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,ENEVA S.A.,04423567000121,21237,cod_cvm:21237,0,,92,2026-07-23,Assembleia; Aviso aos Acionistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Código de Conduta; Dados Econômico-Financeiros,Código CVM 21237 (cadastro_cvm(auto)) casado no IPE.
Engie Brasil,listada,listed_companies,2,filiante_cvm,sim,codigo_cvm,alta,ENGIE BRASIL ENERGIA S.A.,02474103000119,17329,cod_cvm:17329,0,,132,2026-07-20,Assembleia; Aviso aos Acionistas; Aviso aos Debenturistas; Calendário de Eventos Corporativos; Comunicado ao Mercado; Comunicação sobre Transação entre Partes Relacionadas,Código CVM 17329 (cadastro_cvm(auto)) casado no IPE.
