run_id,generated_at,commit_base,payload_hash,company,tier,country,is_subsidiary,parent_company,coverage_status,coverage_status_ui,coverage_status_consolidated,coverage_status_consolidated_ui,evidence_kind_consolidated,official_ever_validated,execution_status_current_run,attempted_current_run,scheduled_current_run,last_success_at,freshness_status,is_stale,sources_configured,sources_executed,sources_success,items_found,events_found,failures_count
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Raia Drogasil,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",regulador,True,COVERAGE_OK_EVENTS_FOUND,True,3,2026-08-11T02:22:28.274028+00:00,valida,False,3,3,3,95,1,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Rede D'Or,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,"Notícias encontradas, apenas informativas",ONLY_INFORMATIONAL_FOUND,"Notícias encontradas, apenas informativas",regulador,True,ONLY_INFORMATIONAL_FOUND,True,3,2026-08-11T02:22:28.274028+00:00,valida,False,3,3,3,78,0,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Suzano,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",regulador,True,COVERAGE_OK_EVENTS_FOUND,True,3,2026-08-11T02:22:28.274028+00:00,valida,False,3,3,3,102,2,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Vale,1,Brasil,False,,COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",COVERAGE_OK_EVENTS_FOUND,"Cobertura confirmada, evento relevante encontrado",regulador,True,COVERAGE_OK_EVENTS_FOUND,True,3,2026-08-11T02:22:28.274028+00:00,valida,False,3,3,3,226,1,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Vibra Energia,1,Brasil,False,,ONLY_INFORMATIONAL_FOUND,"Notícias encontradas, apenas informativas",ONLY_INFORMATIONAL_FOUND,"Notícias encontradas, apenas informativas",regulador,True,ONLY_INFORMATIONAL_FOUND,True,3,2026-08-11T02:22:28.274028+00:00,valida,False,3,3,3,95,0,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Yura,2,Peru,False,,PARTIAL_COVERAGE,Cobertura parcial,PARTIAL_COVERAGE,Cobertura parcial,sem_evidencia,False,PARTIAL_COVERAGE,True,2,2026-08-11T02:22:28.274028+00:00,valida,False,2,1,1,0,0,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Trupal,3,Peru,False,,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,2026-08-10T17:58:17.493891+00:00,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Coazucar,2,Peru,False,,FALLBACK_ONLY,Somente fontes complementares,FALLBACK_ONLY,Somente fontes complementares,fallback,False,FALLBACK_ONLY,True,2,2026-08-11T02:22:28.274028+00:00,valida,False,2,2,2,3,0,0
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Yobel,3,Peru,False,,COLLECTION_FAILURE,Falha de coleta,PARTIAL_COVERAGE,Cobertura parcial,sem_evidencia,False,COLLECTION_FAILURE,True,2,2026-08-10T20:02:57.076909+00:00,parcial,False,2,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Casa Grande S.A.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Cartavio S.A.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Agroindustrias San Jacinto S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Empresa Agrícola Sintuco S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Agrolmos S.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
2026-08-11T02:22:28.274028+00:00,2026-08-11T02:22:28.274028+00:00,56621ef3ac4657745a5c94008eb61852309bb9da,e0a1535ff4bf1305136c65ddefe3789f531f13a7113ef406e23fb41a01f06700,Empresa Agraria Chiquitoy S.A.,2,Peru,True,Coazucar,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,NO_VALIDATED_OFFICIAL_SOURCE,Sem fonte oficial validada,sem_evidencia,False,NO_VALIDATED_OFFICIAL_SOURCE,False,1,,valida,False,1,1,0,0,0,1
