company,coverage_status,source,configured,attempted,technical_success,items_found,validated,note
Raia Drogasil,COVERAGE_OK_EVENTS_FOUND,RI_NEWS,True,True,True,7,True,
Raia Drogasil,COVERAGE_OK_EVENTS_FOUND,EDGAR,False,False,False,0,False,
Raia Drogasil,COVERAGE_OK_EVENTS_FOUND,REGULADOR_LOCAL,True,True,True,69,True,"identificador=cod_cvm:5258 (codigo_cvm); 69 documento(s) retornado(s), 69 aceito(s)."
Rede D'Or,ONLY_INFORMATIONAL_FOUND,GNEWS,True,True,True,15,False,
Rede D'Or,ONLY_INFORMATIONAL_FOUND,RI_RSS,False,False,False,0,False,
Rede D'Or,ONLY_INFORMATIONAL_FOUND,RI_NEWS,True,True,True,3,True,
Rede D'Or,ONLY_INFORMATIONAL_FOUND,EDGAR,False,False,False,0,False,
Rede D'Or,ONLY_INFORMATIONAL_FOUND,REGULADOR_LOCAL,True,True,True,63,True,"identificador=cod_cvm:24821 (codigo_cvm); 63 documento(s) retornado(s), 63 aceito(s)."
Suzano,COVERAGE_OK_EVENTS_FOUND,GNEWS,True,True,True,15,False,
Suzano,COVERAGE_OK_EVENTS_FOUND,RI_RSS,False,False,False,0,False,
Suzano,COVERAGE_OK_EVENTS_FOUND,RI_NEWS,True,True,True,5,True,
Suzano,COVERAGE_OK_EVENTS_FOUND,EDGAR,False,False,False,0,False,
Suzano,COVERAGE_OK_EVENTS_FOUND,REGULADOR_LOCAL,True,True,True,81,True,"identificador=cod_cvm:13986 (codigo_cvm); 81 documento(s) retornado(s), 81 aceito(s)."
Vale,COVERAGE_OK_EVENTS_FOUND,GNEWS,True,True,True,15,False,
Vale,COVERAGE_OK_EVENTS_FOUND,RI_RSS,False,False,False,0,False,
Vale,COVERAGE_OK_EVENTS_FOUND,RI_NEWS,True,True,True,15,True,
Vale,COVERAGE_OK_EVENTS_FOUND,EDGAR,False,False,False,0,False,
Vale,COVERAGE_OK_EVENTS_FOUND,REGULADOR_LOCAL,True,True,True,185,True,"identificador=cod_cvm:4170 (codigo_cvm); 185 documento(s) retornado(s), 185 aceito(s)."
Vibra Energia,ONLY_INFORMATIONAL_FOUND,GNEWS,True,True,True,15,False,
Vibra Energia,ONLY_INFORMATIONAL_FOUND,RI_RSS,False,False,False,0,False,
Vibra Energia,ONLY_INFORMATIONAL_FOUND,RI_NEWS,True,True,True,6,True,
Vibra Energia,ONLY_INFORMATIONAL_FOUND,EDGAR,False,False,False,0,False,
